Narragansett Bay  Station 2 Nutrient Samples,,,,,Some samples from dock at GSO and labeled accordingly,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SURFACE,,,,,,,,,,DEEP (BOTTOM),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,NH4,DIP,NO3+2,NO3,NO2,DIN,,,,NH4,DIP,NO3+2,NO3,NO2,DIN,,,,,,,
Date,Depth,uM,uM,uM,uM,uM,uM,,Date,Depth,uM,uM,uM,uM,uM,uM,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
03/01/04,S,0.973,0.103,0.236,0.182,0.054,1.209,,03/01/04,D,0.777,0.125,0.188,0.144,0.044,0.965,,,,,,,
03/13/04,S,4.811,0.458,4.255,3.985,0.271,9.066,,03/13/04,D,2.004,0.369,1.620,1.526,0.094,3.624,,,,,,,
03/18/04,S,0.658,0.170,0.121,0.118,0.004,0.780,,,,,,,,,0.000,,,,,,,
03/22/04,S,0.291,0.130,0.093,0.097,-0.004,0.384,,03/22/04,D,0.380,0.146,0.013,0.008,0.005,0.393,,,,,,,
03/29/04,S,2.784,0.129,3.703,3.456,0.247,6.486,,03/29/04,D,2.467,0.130,2.909,2.716,0.193,5.376,,,,,,,
04/05/04,S,0.345,0.108,0.263,0.230,0.033,0.607,,,,,,,,,,,,,,,,
04/14/04,S,0.689,0.114,0.098,0.062,0.036,0.787,,,,,,,,,,,,,,,,
04/19/04,S,0.832,0.043,0.061,0.004,0.057,0.893,,04/19/04,D,0.633,0.143,0.070,0.015,0.055,0.703,,,,,,,
04/26/04,S,0.782,0.021,0.099,0.058,0.042,0.882,,04/26/04,D,0.758,0.125,0.121,0.090,0.031,0.879,,,,,,,
05/03/04,S,0.630,0.171,0.049,0.018,0.032,0.679,,05/03/04,D,0.655,0.128,0.032,0.008,0.024,0.688,,,,,,,
05/10/04,S,0.727,0.025,0.145,0.115,0.030,0.872,,05/10/04,D,0.780,0.182,0.300,0.263,0.037,1.080,,,,,,,
05/17/04,S,0.693,0.067,0.280,0.250,0.030,0.974,,05/17/04,D,0.787,0.079,0.123,0.093,0.030,0.910,,,,,,,
05/24/04,S,0.824,0.136,0.090,0.020,0.070,0.914,,05/24/04,D,3.053,0.618,0.524,0.427,0.097,3.577,,,,,,,
06/07/04,S,1.398,0.468,0.302,0.142,0.160,1.700,,06/07/04,D,1.433,0.482,0.250,0.149,0.102,1.683,,,,,,,
06/15/04,S,0.697,0.365,0.060,0.010,0.050,0.757,,06/15/04,D,1.356,0.388,0.076,0.029,0.046,1.431,,,,,,,
06/21/04,S,1.024,0.224,0.080,0.018,0.062,1.104,,06/21/04,D,1.089,0.540,0.108,0.026,0.082,1.197,,,,,,,
06/28/04,S,1.008,0.668,0.060,0.015,0.045,1.068,,,,,,,,,,,,,,,,
07/06/04,S,0.844,0.929,0.060,0.013,0.047,0.904,,07/06/04,D,0.920,0.745,0.060,0.013,0.047,0.980,,,,,,,
07/12/04,S,0.533,0.839,0.201,0.171,0.030,0.735,,07/12/04,D,1.434,1.024,0.080,0.005,0.075,1.514,,,,,,,
07/19/04,S,0.549,0.616,0.040,0.006,0.034,0.589,,07/19/04,D,0.796,0.981,0.066,0.019,0.047,0.861,,,,,,,
07/26/04,S,0.663,1.206,0.147,0.121,0.025,0.810,,07/26/04,D,0.673,1.151,0.050,0.005,0.045,0.723,,,,,,,
08/02/04,S,0.749,0.972,0.060,0.022,0.038,0.809,,08/02/04,D,2.448,1.148,0.090,0.011,0.079,2.538,,,,,,,
08/10/04,S,0.840,0.905,0.186,0.160,0.026,1.027,,08/10/04,D,0.751,0.810,0.195,0.134,0.061,0.946,,,,,,,
08/15/04,S,1.602,1.130,0.147,0.089,0.058,1.749,,08/15/04,D,1.539,1.084,0.070,0.015,0.055,1.609,,,,,,,
08/23/04,S,0.080,0.770,0.071,0.051,0.020,0.151,,08/23/04,D,0.570,1.040,0.416,0.346,0.070,0.986,,,,,,,
09/08/04,S,0.060,0.114,0.112,0.092,0.020,0.172,,09/08/04,D,1.485,0.801,0.107,0.062,0.045,1.592,,,,,,,
09/15/04,S,0.140,0.754,0.100,0.019,0.081,0.240,,09/15/04,D,0.490,1.425,0.183,0.023,0.160,0.673,,,,,,,
09/20/04,S,0.200,1.310,0.203,0.153,0.050,0.403,,09/20/04,D,0.965,2.023,0.274,0.069,0.205,1.239,,,,,,,
09/27/04,S,0.165,0.775,0.127,0.092,0.035,0.292,,09/27/04,D,0.150,1.144,0.107,0.067,0.040,0.257,,,,,,,
10/04/04,S,0.080,0.406,0.081,0.051,0.030,0.161,,10/04/04,D,0.150,0.655,0.030,0.010,0.020,0.180,,,,,,,
10/12/04,S,1.740,1.310,1.167,1.057,0.110,2.907,,10/12/04,D,1.575,1.201,0.508,0.368,0.140,2.083,,,,,,,
10/18/04,S,0.100,0.905,0.162,0.132,0.030,0.262,,10/18/04,D,0.220,1.056,0.091,0.026,0.065,0.311,,,,,,,
10/25/04,S,5.000,1.175,5.593,4.803,0.790,10.593,,10/25/04,D,3.780,1.165,4.598,3.978,0.620,8.378,,,,,,,
11/01/04,S,0.020,0.593,0.112,0.072,0.040,0.132,,11/01/04,D,0.150,0.614,0.264,0.204,0.060,0.414,,,,,,,
11/08/04,S,1.430,0.728,0.497,0.407,0.090,1.927,,11/08/04,D,1.460,0.853,0.457,0.077,0.380,1.917,,,,,,,
11/15/04,S,4.680,1.071,4.243,3.803,0.440,8.923,,11/15/04,D,3.630,0.957,3.157,2.787,0.370,6.787,,,,,,,
11/22/04,S,8.350,1.508,9.957,8.997,0.960,18.307,,11/22/04,D,4.670,1.227,5.095,4.465,0.630,9.765,,,,,,,
